name	taxonomy_id	taxonomy_lvl	C10_S21_C._num	C10_S21_C._frac	C1_S12_C._num	C1_S12_C._frac	C2_S13_C._num	C2_S13_C._frac	C3_S14_C._num	C3_S14_C._frac	C4_S15_C._num	C4_S15_C._frac	C5_S16_C._num	C5_S16_C._frac	C6_S17_C._num	C6_S17_C._frac	C7_S18_C._num	C7_S18_C._frac	C9_S20_C._num	C9_S20_C._frac	Post_Cntl_C._num	Post_Cntl_C._frac	S10_S11_C._num	S10_S11_C._frac	S1_S2_C._num	S1_S2_C._frac	S2_S3_C._num	S2_S3_C._frac	S3_S4_C._num	S3_S4_C._frac	S4_S5_C._num	S4_S5_C._frac	S5_S6_C._num	S5_S6_C._frac	S6_S7_C._num	S6_S7_C._frac	S7_S8_C._num	S7_S8_C._frac	S8_S9_C._num	S8_S9_C._frac	S9_S10_C._num	S9_S10_C._frac
Gammaproteobacteria	1236	C	6141812	0.36058	8528717	0.41082	1052407	0.09053	1176151	0.13085	1792071	0.17120	825599	0.08593	4421952	0.26091	2334779	0.15765	9218887	0.37051	51527634	0.99927	1745499	0.09165	1371452	0.05270	1112906	0.07568	1805692	0.05213	1445918	0.12816	10779534	0.19265	604455	0.08136	1479602	0.10742	1071974	0.08720	782612	0.06952
Alphaproteobacteria	28211	C	503161	0.02954	525613	0.02532	506998	0.04362	357903	0.03982	412032	0.03936	437203	0.04550	421348	0.02486	586596	0.03961	715825	0.02877	3598	0.00007	651047	0.03418	708854	0.02724	530183	0.03605	961549	0.02776	379634	0.03365	4678620	0.08362	257329	0.03464	635741	0.04616	425086	0.03458	392666	0.03488
Betaproteobacteria	28216	C	347300	0.02039	320270	0.01543	302152	0.02599	206554	0.02298	238524	0.02279	263574	0.02743	278555	0.01644	298572	0.02016	521175	0.02095	10770	0.00021	391037	0.02053	432369	0.01661	324886	0.02209	589138	0.01701	226233	0.02005	3256120	0.05819	155407	0.02092	383713	0.02786	252236	0.02052	240768	0.02139
Acidithiobacillia	1807140	C	2530	0.00015	3439	0.00017	3651	0.00031	2374	0.00026	2764	0.00026	2938	0.00031	2974	0.00018	3476	0.00023	3117	0.00013	367	0.00001	4643	0.00024	5064	0.00019	3910	0.00027	7113	0.00021	2844	0.00025	8395	0.00015	1777	0.00024	4884	0.00035	3031	0.00025	2849	0.00025
Candidatius Mariprofundia	580370	C	552	0.00003	743	0.00004	875	0.00008	497	0.00006	700	0.00007	679	0.00007	821	0.00005	837	0.00006	785	0.00003	0	0.00000	763	0.00004	559	0.00002	820	0.00006	815	0.00002	609	0.00005	1263	0.00002	342	0.00005	768	0.00006	890	0.00007	609	0.00005
Magnetococcia	3118669	C	500	0.00003	320	0.00002	328	0.00003	250	0.00003	325	0.00003	263	0.00003	341	0.00002	353	0.00002	620	0.00002	0	0.00000	542	0.00003	339	0.00001	336	0.00002	419	0.00001	259	0.00002	588	0.00001	227	0.00003	536	0.00004	317	0.00003	280	0.00002
Hydrogenophilia	2008785	C	123	0.00001	198	0.00001	239	0.00002	149	0.00002	189	0.00002	237	0.00002	193	0.00001	228	0.00002	204	0.00001	0	0.00000	184	0.00001	229	0.00001	223	0.00002	352	0.00001	129	0.00001	523	0.00001	77	0.00001	290	0.00002	213	0.00002	161	0.00001
Bacteroidia	200643	C	721135	0.04234	1257474	0.06057	1247614	0.10733	882065	0.09813	1052022	0.10050	984044	0.10242	1434780	0.08466	1372508	0.09267	1024275	0.04117	241	0.00000	2367604	0.12431	6148092	0.23626	1868515	0.12706	8377902	0.24189	1143560	0.10136	2830510	0.05059	960657	0.12931	1488838	0.10810	2000827	0.16277	1235264	0.10972
Flavobacteriia	117743	C	630313	0.03700	334512	0.01611	331866	0.02855	201892	0.02246	268945	0.02569	247012	0.02571	399065	0.02355	393591	0.02658	1272944	0.05116	1071	0.00002	455938	0.02394	301716	0.01159	328294	0.02232	386403	0.01116	210142	0.01863	3338137	0.05966	184351	0.02481	367178	0.02666	293659	0.02389	252076	0.02239
Cytophagia	768503	C	93270	0.00548	108612	0.00523	110805	0.00953	74155	0.00825	89328	0.00853	87003	0.00906	124087	0.00732	126651	0.00855	143612	0.00577	159	0.00000	160515	0.00843	146646	0.00564	123144	0.00837	196277	0.00567	82588	0.00732	300978	0.00538	64475	0.00868	144802	0.01051	119781	0.00974	88258	0.00784
Sphingobacteriia	117747	C	87091	0.00511	69166	0.00333	71973	0.00619	46977	0.00523	57871	0.00553	55511	0.00578	81851	0.00483	83560	0.00564	145810	0.00586	42	0.00000	101981	0.00535	63944	0.00246	73070	0.00497	83262	0.00240	48203	0.00427	253853	0.00454	41295	0.00556	78230	0.00568	68773	0.00559	54824	0.00487
Chitinophagia	1853228	C	29727	0.00175	33998	0.00164	34168	0.00294	22776	0.00253	28189	0.00269	26693	0.00278	39525	0.00233	39139	0.00264	44761	0.00180	117	0.00000	51570	0.00271	39136	0.00150	38454	0.00261	52032	0.00150	25344	0.00225	103244	0.00185	20727	0.00279	41608	0.00302	37559	0.00306	27375	0.00243
Saprospiria	1937959	C	5500	0.00032	6425	0.00031	6242	0.00054	4100	0.00046	5028	0.00048	4777	0.00050	7320	0.00043	7715	0.00052	8365	0.00034	0	0.00000	10001	0.00053	7889	0.00030	6148	0.00042	10179	0.00029	4234	0.00038	11932	0.00021	4030	0.00054	8164	0.00059	6275	0.00051	4602	0.00041
Chlorobiia	191410	C	3452	0.00020	6508	0.00031	6841	0.00059	4613	0.00051	5369	0.00051	5597	0.00058	6814	0.00040	7516	0.00051	4443	0.00018	0	0.00000	9611	0.00050	8613	0.00033	8073	0.00055	11526	0.00033	5486	0.00049	11864	0.00021	3786	0.00051	8545	0.00062	6798	0.00055	6067	0.00054
Rhodothermia	1853222	C	1671	0.00010	3713	0.00018	3555	0.00031	2430	0.00027	2775	0.00027	3077	0.00032	2777	0.00016	3761	0.00025	2020	0.00008	0	0.00000	4716	0.00025	7813	0.00030	4041	0.00027	10589	0.00031	2889	0.00026	19285	0.00034	1849	0.00025	4449	0.00032	3171	0.00026	2890	0.00026
Ignavibacteria	795747	C	1240	0.00007	1721	0.00008	1699	0.00015	1011	0.00011	1326	0.00013	1274	0.00013	2221	0.00013	1928	0.00013	1812	0.00007	14	0.00000	2339	0.00012	3372	0.00013	2131	0.00014	3673	0.00011	1212	0.00011	2185	0.00004	968	0.00013	2060	0.00015	1438	0.00012	1596	0.00014
Balneolia	1853221	C	1246	0.00007	1381	0.00007	1488	0.00013	1007	0.00011	1240	0.00012	1247	0.00013	1542	0.00009	1496	0.00010	1634	0.00007	0	0.00000	1730	0.00009	1422	0.00005	1786	0.00012	1911	0.00006	1120	0.00010	2320	0.00004	703	0.00009	2062	0.00015	1369	0.00011	1261	0.00011
Fibrobacteria	204430	C	3808	0.00022	8705	0.00042	6589	0.00057	1895	0.00021	2152	0.00021	2192	0.00023	17775	0.00105	6785	0.00046	2608	0.00010	0	0.00000	214317	0.01125	222773	0.00856	4960	0.00034	262263	0.00757	4096	0.00036	4420	0.00008	75139	0.01011	81931	0.00595	164192	0.01336	3771	0.00033
Gemmatimonadia	219685	C	1800	0.00011	3936	0.00019	3650	0.00031	2731	0.00030	2892	0.00028	3296	0.00034	2970	0.00018	4403	0.00030	2309	0.00009	0	0.00000	5102	0.00027	5268	0.00020	4084	0.00028	7168	0.00021	2816	0.00025	27929	0.00050	2081	0.00028	4401	0.00032	2476	0.00020	2935	0.00026
