name	taxonomy_id	taxonomy_lvl	C10_S21_F._num	C10_S21_F._frac	C1_S12_F._num	C1_S12_F._frac	C2_S13_F._num	C2_S13_F._frac	C3_S14_F._num	C3_S14_F._frac	C4_S15_F._num	C4_S15_F._frac	C5_S16_F._num	C5_S16_F._frac	C6_S17_F._num	C6_S17_F._frac	C7_S18_F._num	C7_S18_F._frac	C9_S20_F._num	C9_S20_F._frac	Post_Cntl_F._num	Post_Cntl_F._frac	S10_S11_F._num	S10_S11_F._frac	S1_S2_F._num	S1_S2_F._frac	S2_S3_F._num	S2_S3_F._frac	S3_S4_F._num	S3_S4_F._frac	S4_S5_F._num	S4_S5_F._frac	S5_S6_F._num	S5_S6_F._frac	S6_S7_F._num	S6_S7_F._frac	S7_S8_F._num	S7_S8_F._frac	S8_S9_F._num	S8_S9_F._frac	S9_S10_F._num	S9_S10_F._frac
Moraxellaceae	468	F	2542723	0.14930	7588167	0.36555	170706	0.01469	599550	0.06671	1026505	0.09808	66550	0.00693	3395314	0.20035	1358797	0.09176	4283451	0.17217	16103661	0.31230	546554	0.02870	61532	0.00236	92362	0.00628	70175	0.00203	812178	0.07200	3494576	0.06246	136754	0.01841	63179	0.00459	56603	0.00461	50451	0.00448
Pseudomonadaceae	135621	F	1651411	0.09696	264838	0.01276	148770	0.01280	104134	0.01159	117567	0.01123	129090	0.01344	295033	0.01741	280099	0.01892	2348995	0.09442	3448343	0.06687	200557	0.01053	213104	0.00819	188540	0.01282	285607	0.00825	120793	0.01071	3645593	0.06516	71952	0.00969	177028	0.01285	117383	0.00955	114192	0.01014
Marinobacteraceae	2887365	F	54431	0.00320	11360	0.00055	9953	0.00086	6708	0.00075	8024	0.00077	8366	0.00087	9768	0.00058	11916	0.00080	68298	0.00275	60	0.00000	14016	0.00074	14594	0.00056	10289	0.00070	20252	0.00058	7568	0.00067	21580	0.00039	6267	0.00084	12922	0.00094	7793	0.00063	7578	0.00067
Ketobacteraceae	3085096	F	2276	0.00013	415	0.00002	330	0.00003	231	0.00003	226	0.00002	254	0.00003	366	0.00002	352	0.00002	2989	0.00012	0	0.00000	436	0.00002	257	0.00001	305	0.00002	374	0.00001	203	0.00002	580	0.00001	179	0.00002	497	0.00004	377	0.00003	254	0.00002
Pseudohongiellaceae	3085095	F	1507	0.00009	352	0.00002	353	0.00003	198	0.00002	287	0.00003	266	0.00003	349	0.00002	346	0.00002	1931	0.00008	0	0.00000	547	0.00003	217	0.00001	356	0.00002	300	0.00001	253	0.00002	654	0.00001	227	0.00003	371	0.00003	302	0.00002	278	0.00002
Oceanospirillaceae	135620	F	226887	0.01332	22067	0.00106	15738	0.00135	10290	0.00115	12751	0.00122	12801	0.00133	20624	0.00122	18087	0.00122	286816	0.01153	378	0.00001	20831	0.00109	20492	0.00079	15244	0.00104	26076	0.00075	11368	0.00101	27344	0.00049	8007	0.00108	17719	0.00129	12252	0.00100	11495	0.00102
Halomonadaceae	28256	F	125588	0.00737	28872	0.00139	25204	0.00217	17404	0.00194	19955	0.00191	20732	0.00216	22498	0.00133	25544	0.00173	155261	0.00624	448	0.00001	32347	0.00170	33590	0.00129	27103	0.00184	45618	0.00132	19839	0.00176	74718	0.00134	12413	0.00167	30663	0.00223	23169	0.00188	20082	0.00178
Endozoicomonadaceae	2066474	F	10570	0.00062	4546	0.00022	3951	0.00034	2638	0.00029	3441	0.00033	3167	0.00033	4049	0.00024	4089	0.00028	13732	0.00055	11	0.00000	4580	0.00024	3616	0.00014	3896	0.00026	4833	0.00014	2780	0.00025	5796	0.00010	1722	0.00023	4629	0.00034	3012	0.00025	2894	0.00026
Alcanivoracaceae	224372	F	9947	0.00058	3606	0.00017	3581	0.00031	2388	0.00027	2839	0.00027	2973	0.00031	3204	0.00019	3398	0.00023	14390	0.00058	14	0.00000	4919	0.00026	5620	0.00022	4407	0.00030	7532	0.00022	3024	0.00027	9112	0.00016	1945	0.00026	5259	0.00038	3534	0.00029	3208	0.00028
Saccharospirillaceae	255527	F	5130	0.00030	1337	0.00006	1156	0.00010	773	0.00009	1011	0.00010	984	0.00010	1750	0.00010	1302	0.00009	6698	0.00027	0	0.00000	1459	0.00008	2551	0.00010	1213	0.00008	3365	0.00010	872	0.00008	2493	0.00004	556	0.00007	1400	0.00010	835	0.00007	844	0.00007
Hahellaceae	224379	F	3923	0.00023	2013	0.00010	2005	0.00017	1318	0.00015	1562	0.00015	1560	0.00016	1898	0.00011	1950	0.00013	5588	0.00022	0	0.00000	2749	0.00014	3255	0.00013	2133	0.00015	4404	0.00013	1486	0.00013	4279	0.00008	1134	0.00015	2753	0.00020	1418	0.00012	1465	0.00013
Zooshikellaceae	2898533	F	5680	0.00033	451	0.00002	244	0.00002	189	0.00002	440	0.00004	446	0.00005	363	0.00002	311	0.00002	7518	0.00030	0	0.00000	340	0.00002	185	0.00001	385	0.00003	321	0.00001	501	0.00004	359	0.00001	149	0.00002	482	0.00004	214	0.00002	558	0.00005
Pleioneaceae	2823145	F	2045	0.00012	534	0.00003	170	0.00001	144	0.00002	114	0.00001	133	0.00001	269	0.00002	191	0.00001	2437	0.00010	0	0.00000	257	0.00001	145	0.00001	163	0.00001	231	0.00001	128	0.00001	855	0.00002	85	0.00001	568	0.00004	466	0.00004	121	0.00001
Oleiphilaceae	191033	F	1765	0.00010	392	0.00002	298	0.00003	403	0.00004	227	0.00002	229	0.00002	302	0.00002	268	0.00002	2217	0.00009	0	0.00000	797	0.00004	191	0.00001	728	0.00005	276	0.00001	204	0.00002	497	0.00001	165	0.00002	413	0.00003	207	0.00002	201	0.00002
Balneatrichaceae	2301193	F	1136	0.00007	650	0.00003	954	0.00008	418	0.00005	468	0.00004	515	0.00005	466	0.00003	962	0.00006	1555	0.00006	0	0.00000	497	0.00003	423	0.00002	439	0.00003	566	0.00002	318	0.00003	1142	0.00002	387	0.00005	685	0.00005	346	0.00003	331	0.00003
Litorivicinaceae	449732	F	550	0.00003	196	0.00001	227	0.00002	115	0.00001	140	0.00001	160	0.00002	185	0.00001	246	0.00002	824	0.00003	0	0.00000	192	0.00001	237	0.00001	193	0.00001	330	0.00001	128	0.00001	587	0.00001	61	0.00001	261	0.00002	270	0.00002	111	0.00001
Shewanellaceae	267890	F	133999	0.00787	25538	0.00123	18609	0.00160	12182	0.00136	15210	0.00145	15068	0.00157	23202	0.00137	20982	0.00142	187594	0.00754	846	0.00002	28312	0.00149	19426	0.00075	19177	0.00130	25933	0.00075	13613	0.00121	186100	0.00333	11276	0.00152	20840	0.00151	14620	0.00119	14159	0.00126
Pseudoalteromonadaceae	267888	F	80278	0.00471	16352	0.00079	11735	0.00101	7579	0.00084	9532	0.00091	8817	0.00092	16441	0.00097	13995	0.00095	107887	0.00434	184	0.00000	16132	0.00085	14625	0.00056	11403	0.00078	18098	0.00052	8572	0.00076	17012	0.00030	6364	0.00086	11797	0.00086	9103	0.00074	9015	0.00080
Alteromonadaceae	72275	F	75853	0.00445	17642	0.00085	13640	0.00117	8649	0.00096	10326	0.00099	10215	0.00106	17221	0.00102	15340	0.00104	102730	0.00413	243	0.00000	19493	0.00102	12964	0.00050	13316	0.00091	16882	0.00049	9447	0.00084	21339	0.00038	7419	0.00100	13276	0.00096	10032	0.00082	10306	0.00092
Colwelliaceae	267889	F	36788	0.00216	8962	0.00043	7155	0.00062	4692	0.00052	5428	0.00052	5505	0.00057	9771	0.00058	8374	0.00057	51098	0.00205	68	0.00000	10831	0.00057	6857	0.00026	7158	0.00049	9247	0.00027	4932	0.00044	10006	0.00018	4053	0.00055	7046	0.00051	4595	0.00037	5665	0.00050
Idiomarinaceae	267893	F	17302	0.00102	3059	0.00015	2322	0.00020	1353	0.00015	1792	0.00017	1642	0.00017	3320	0.00020	2654	0.00018	22736	0.00091	69	0.00000	2893	0.00015	2682	0.00010	2457	0.00017	3780	0.00011	1701	0.00015	3631	0.00006	1047	0.00014	2322	0.00017	1606	0.00013	1851	0.00016
Psychromonadaceae	267894	F	8419	0.00049	2476	0.00012	1897	0.00016	1228	0.00014	1467	0.00014	1527	0.00016	2669	0.00016	2244	0.00015	12085	0.00049	0	0.00000	2353	0.00012	2664	0.00010	1836	0.00012	3128	0.00009	1333	0.00012	2438	0.00004	918	0.00012	1898	0.00014	1489	0.00012	1485	0.00013
Moritellaceae	267891	F	4255	0.00025	1865	0.00009	1327	0.00011	761	0.00008	1144	0.00011	1033	0.00011	1829	0.00011	1670	0.00011	6434	0.00026	0	0.00000	1677	0.00009	2338	0.00009	1475	0.00010	2899	0.00008	974	0.00009	1942	0.00003	654	0.00009	1384	0.00010	1040	0.00008	1178	0.00010
Ferrimonadaceae	267892	F	3945	0.00023	2400	0.00012	2001	0.00017	1275	0.00014	1737	0.00017	1563	0.00016	1965	0.00012	1846	0.00012	5297	0.00021	441	0.00001	2385	0.00013	2320	0.00009	1686	0.00011	3309	0.00010	1283	0.00011	3531	0.00006	941	0.00013	2430	0.00018	1754	0.00014	1194	0.00011
Enterobacteriaceae	543	F	275348	0.01617	142089	0.00685	231764	0.01994	150784	0.01678	269169	0.02572	211958	0.02206	227403	0.01342	180627	0.01220	339237	0.01364	30148325	0.58467	321606	0.01689	475938	0.01829	274365	0.01866	628688	0.01815	145567	0.01290	497868	0.00890	124160	0.01672	660969	0.04800	494756	0.04025	200963	0.01785
Morganellaceae	1903414	F	100283	0.00589	25882	0.00125	31574	0.00272	14871	0.00165	16303	0.00156	33224	0.00346	23893	0.00141	31718	0.00214	145463	0.00585	3555	0.00007	44969	0.00236	30751	0.00118	64723	0.00440	35835	0.00103	25781	0.00229	35016	0.00063	20783	0.00280	27070	0.00197	18694	0.00152	50037	0.00445
Yersiniaceae	1903411	F	45448	0.00267	23131	0.00111	23803	0.00205	15230	0.00169	17266	0.00165	19583	0.00204	22066	0.00130	22410	0.00151	61220	0.00246	20287	0.00039	31544	0.00166	29350	0.00113	28216	0.00192	37825	0.00109	16743	0.00148	71978	0.00129	13078	0.00176	32447	0.00236	18046	0.00147	18238	0.00162
