name	taxonomy_id	taxonomy_lvl	C10_S21_G._num	C10_S21_G._frac	C1_S12_G._num	C1_S12_G._frac	C2_S13_G._num	C2_S13_G._frac	C3_S14_G._num	C3_S14_G._frac	C4_S15_G._num	C4_S15_G._frac	C5_S16_G._num	C5_S16_G._frac	C6_S17_G._num	C6_S17_G._frac	C7_S18_G._num	C7_S18_G._frac	C9_S20_G._num	C9_S20_G._frac	Post_Cntl_G._num	Post_Cntl_G._frac	S10_S11_G._num	S10_S11_G._frac	S1_S2_G._num	S1_S2_G._frac	S2_S3_G._num	S2_S3_G._frac	S3_S4_G._num	S3_S4_G._frac	S4_S5_G._num	S4_S5_G._frac	S5_S6_G._num	S5_S6_G._frac	S6_S7_G._num	S6_S7_G._frac	S7_S8_G._num	S7_S8_G._frac	S8_S9_G._num	S8_S9_G._frac	S9_S10_G._num	S9_S10_G._frac
Psychrobacter	497	G	2129024	0.12503	2253491	0.10858	20612	0.00177	159434	0.01775	325686	0.03113	8336	0.00087	1069228	0.06310	906886	0.06125	3718150	0.14947	114	0.00000	462397	0.02428	12218	0.00047	45086	0.00307	8555	0.00025	730369	0.06476	905404	0.01618	107913	0.01453	11718	0.00085	23101	0.00188	11927	0.00106
Acinetobacter	469	G	386867	0.02272	5310683	0.25588	144947	0.01247	436876	0.04863	697125	0.06663	54196	0.00564	2319022	0.13686	445554	0.03009	529552	0.02129	16103440	0.31230	74438	0.00391	42769	0.00164	42583	0.00290	53837	0.00155	75377	0.00668	2580728	0.04613	25714	0.00346	46745	0.00340	30192	0.00246	34932	0.00310
Moraxella	475	G	17495	0.00103	14764	0.00071	3657	0.00031	2296	0.00026	2521	0.00024	2816	0.00029	5103	0.00030	4380	0.00030	23032	0.00093	37	0.00000	6376	0.00033	4492	0.00017	3435	0.00023	5485	0.00016	4362	0.00039	5327	0.00010	2086	0.00028	3151	0.00023	2108	0.00017	2624	0.00023
Faucicola	1604696	G	5778	0.00034	4885	0.00024	802	0.00007	532	0.00006	625	0.00006	689	0.00007	1090	0.00006	1219	0.00008	7918	0.00032	33	0.00000	1746	0.00009	1379	0.00005	667	0.00005	1560	0.00005	1235	0.00011	1436	0.00003	508	0.00007	848	0.00006	611	0.00005	493	0.00004
Lwoffella	3444169	G	1412	0.00008	3178	0.00015	215	0.00002	124	0.00001	139	0.00001	145	0.00002	265	0.00002	337	0.00002	2053	0.00008	0	0.00000	982	0.00005	136	0.00001	186	0.00001	162	0.00000	501	0.00004	301	0.00001	321	0.00004	144	0.00001	286	0.00002	141	0.00001
Aquirhabdus	2824158	G	1121	0.00007	475	0.00002	268	0.00002	155	0.00002	197	0.00002	181	0.00002	387	0.00002	258	0.00002	1414	0.00006	14	0.00000	295	0.00002	142	0.00001	184	0.00001	171	0.00000	170	0.00002	577	0.00001	110	0.00001	238	0.00002	143	0.00001	153	0.00001
Alkanindiges	222991	G	1037	0.00006	693	0.00003	209	0.00002	132	0.00001	210	0.00002	184	0.00002	223	0.00001	259	0.00002	1347	0.00005	19	0.00000	321	0.00002	393	0.00002	218	0.00001	402	0.00001	164	0.00001	828	0.00001	100	0.00001	331	0.00002	160	0.00001	179	0.00002
Pseudomonas	286	G	917688	0.05389	174193	0.00839	127848	0.01100	85004	0.00946	101580	0.00971	110750	0.01153	207370	0.01224	221601	0.01497	1269496	0.05103	3432611	0.06657	154350	0.00811	182157	0.00700	164974	0.01122	244007	0.00705	96204	0.00853	3533506	0.06316	60032	0.00808	149286	0.01084	98493	0.00801	97191	0.00864
Denitrificimonas	2901261	G	421295	0.02474	28910	0.00139	286	0.00002	2132	0.00024	725	0.00007	232	0.00002	40558	0.00239	24476	0.00165	561523	0.02257	0	0.00000	16762	0.00088	446	0.00002	650	0.00004	266	0.00001	6323	0.00056	6202	0.00011	638	0.00009	289	0.00002	1004	0.00008	362	0.00003
Halopseudomonas	2901189	G	144012	0.00846	38068	0.00183	3800	0.00033	5409	0.00060	3465	0.00033	3077	0.00032	22678	0.00134	12426	0.00084	295427	0.01188	71	0.00000	5457	0.00029	4470	0.00017	3943	0.00027	6259	0.00018	3720	0.00033	13445	0.00024	1969	0.00027	5311	0.00039	2949	0.00024	2784	0.00025
