name	taxonomy_id	taxonomy_lvl	C10_S21_K._num	C10_S21_K._frac	C1_S12_K._num	C1_S12_K._frac	C2_S13_K._num	C2_S13_K._frac	C3_S14_K._num	C3_S14_K._frac	C4_S15_K._num	C4_S15_K._frac	C5_S16_K._num	C5_S16_K._frac	C6_S17_K._num	C6_S17_K._frac	C7_S18_K._num	C7_S18_K._frac	C9_S20_K._num	C9_S20_K._frac	Post_Cntl_K._num	Post_Cntl_K._frac	S10_S11_K._num	S10_S11_K._frac	S1_S2_K._num	S1_S2_K._frac	S2_S3_K._num	S2_S3_K._frac	S3_S4_K._num	S3_S4_K._frac	S4_S5_K._num	S4_S5_K._frac	S5_S6_K._num	S5_S6_K._frac	S6_S7_K._num	S6_S7_K._frac	S7_S8_K._num	S7_S8_K._frac	S8_S9_K._num	S8_S9_K._frac	S9_S10_K._num	S9_S10_K._frac
Pseudomonadati	3379134	K	8858038	0.52005	11647586	0.56105	4129405	0.35525	3266753	0.36343	4307319	0.41150	3317006	0.34524	7761572	0.45794	5771993	0.38972	13464225	0.54115	51545276	0.99960	7450738	0.39119	10804602	0.41519	5090210	0.34614	14170982	0.40915	4031542	0.35732	26788885	0.47877	2894516	0.38959	5446886	0.39545	4951606	0.40280	3600002	0.31976
Bacillati	1783272	K	7750271	0.45501	8407647	0.40499	6695738	0.57602	5270116	0.58630	5650815	0.53985	5531318	0.57571	8299512	0.48968	7869930	0.53137	10836776	0.43555	14744	0.00029	9693293	0.50893	13932527	0.53539	7041078	0.47880	18685612	0.53949	5658224	0.50150	26651680	0.47631	3768347	0.50721	7330318	0.53220	6730553	0.54752	5467366	0.48563
Fusobacteriati	3384189	K	25466	0.00150	38494	0.00185	42967	0.00370	25828	0.00287	31887	0.00305	34645	0.00361	44143	0.00260	44718	0.00302	35294	0.00142	152	0.00000	63687	0.00334	71412	0.00274	52976	0.00360	92368	0.00267	32601	0.00289	59856	0.00107	23423	0.00315	46176	0.00335	34543	0.00281	39422	0.00350
Thermotogati	3384194	K	28938	0.00170	42936	0.00207	43010	0.00370	29322	0.00326	35412	0.00338	36041	0.00375	40902	0.00241	42554	0.00287	36477	0.00147	30	0.00000	56503	0.00297	63523	0.00244	48142	0.00327	85678	0.00247	30494	0.00270	108261	0.00193	24974	0.00336	53881	0.00391	38079	0.00310	36439	0.00324
Methanobacteriati	3366610	K	179322	0.01053	321092	0.01547	381370	0.03281	201138	0.02238	193995	0.01853	415182	0.04321	477891	0.02820	693720	0.04684	259309	0.01042	157	0.00000	1276959	0.06704	725524	0.02788	2154261	0.14649	1013148	0.02925	1330654	0.11794	1768109	0.03160	515140	0.06934	632652	0.04593	281938	0.02294	1837519	0.16321
Thermoproteati	1783275	K	4393	0.00026	6467	0.00031	6252	0.00054	3992	0.00044	4777	0.00046	5113	0.00053	7501	0.00044	7121	0.00048	5963	0.00024	30	0.00000	9974	0.00052	8024	0.00031	6742	0.00046	10828	0.00031	4171	0.00037	12681	0.00023	3891	0.00052	6745	0.00049	5562	0.00045	5448	0.00048
Nanobdellati	1783276	K	213	0.00001	257	0.00001	253	0.00002	146	0.00002	224	0.00002	192	0.00002	234	0.00001	312	0.00002	258	0.00001	0	0.00000	303	0.00002	183	0.00001	200	0.00001	256	0.00001	109	0.00001	390	0.00001	121	0.00002	258	0.00002	305	0.00002	120	0.00001
Promethearchaeati	1935183	K	198	0.00001	259	0.00001	304	0.00003	149	0.00002	202	0.00002	198	0.00002	316	0.00002	289	0.00002	241	0.00001	0	0.00000	428	0.00002	1025	0.00004	247	0.00002	994	0.00003	156	0.00001	427	0.00001	149	0.00002	304	0.00002	296	0.00002	213	0.00002
Metazoa	33208	K	111981	0.00657	194147	0.00935	220659	0.01898	125908	0.01401	153875	0.01470	179978	0.01873	213530	0.01260	264503	0.01786	148126	0.00595	3335	0.00006	348192	0.01828	237632	0.00913	210398	0.01431	327798	0.00946	129798	0.01150	359756	0.00643	139723	0.01881	159168	0.01156	159572	0.01298	189720	0.01685
Fungi	4751	K	55380	0.00325	85463	0.00412	91600	0.00788	55453	0.00617	76312	0.00729	74814	0.00779	91215	0.00538	100514	0.00679	72290	0.00291	1213	0.00002	132158	0.00694	105800	0.00407	86741	0.00590	144442	0.00417	56273	0.00499	179815	0.00321	53647	0.00722	85282	0.00619	77105	0.00627	71750	0.00637
Heunggongvirae	2731360	K	14267	0.00084	11904	0.00057	8935	0.00077	7326	0.00082	9426	0.00090	10325	0.00107	7493	0.00044	9725	0.00066	17201	0.00069	674	0.00001	8522	0.00045	67799	0.00261	10258	0.00070	96538	0.00279	6004	0.00053	18260	0.00033	3317	0.00045	7518	0.00055	10239	0.00083	6774	0.00060
Bamfordvirae	2732005	K	3602	0.00021	2508	0.00012	2699	0.00023	1656	0.00018	2528	0.00024	2295	0.00024	3012	0.00018	3203	0.00022	3830	0.00015	16	0.00000	3980	0.00021	3866	0.00015	2928	0.00020	4194	0.00012	1819	0.00016	4050	0.00007	1589	0.00021	3181	0.00023	1948	0.00016	2845	0.00025
Orthornavirae	2732396	K	485	0.00003	599	0.00003	504	0.00004	321	0.00004	412	0.00004	426	0.00004	571	0.00003	553	0.00004	592	0.00002	54	0.00000	728	0.00004	711	0.00003	470	0.00003	1056	0.00003	282	0.00002	828	0.00001	330	0.00004	562	0.00004	486	0.00004	353	0.00003
Pararnavirae	2732397	K	229	0.00001	828	0.00004	229	0.00002	502	0.00006	0	0.00000	230	0.00002	707	0.00004	391	0.00003	24	0.00000	0	0.00000	909	0.00005	213	0.00001	715	0.00005	1271	0.00004	432	0.00004	715	0.00001	342	0.00005	641	0.00005	556	0.00005	166	0.00001
Loebvirae	2732090	K	94	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	146	0.00001	0	0.00000	0	0.00000	33	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Shotokuvirae	2732092	K	84	0.00000	85	0.00000	89	0.00001	78	0.00001	76	0.00001	82	0.00001	84	0.00000	113	0.00001	103	0.00000	0	0.00000	111	0.00001	112	0.00000	107	0.00001	186	0.00001	63	0.00001	189	0.00000	42	0.00001	77	0.00001	93	0.00001	76	0.00001
Zilligvirae	2840023	K	33	0.00000	20	0.00000	52	0.00000	28	0.00000	27	0.00000	39	0.00000	43	0.00000	54	0.00000	30	0.00000	0	0.00000	43	0.00000	99	0.00000	98	0.00001	142	0.00000	57	0.00001	44	0.00000	13	0.00000	75	0.00001	22	0.00000	65	0.00001
Helvetiavirae	2732006	K	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	10	0.00000	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sangervirae	2732091	K	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Abadenavirae	3412606	K	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	827	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
