name	taxonomy_id	taxonomy_lvl	C10_S21_O._num	C10_S21_O._frac	C1_S12_O._num	C1_S12_O._frac	C2_S13_O._num	C2_S13_O._frac	C3_S14_O._num	C3_S14_O._frac	C4_S15_O._num	C4_S15_O._frac	C5_S16_O._num	C5_S16_O._frac	C6_S17_O._num	C6_S17_O._frac	C7_S18_O._num	C7_S18_O._frac	C9_S20_O._num	C9_S20_O._frac	Post_Cntl_O._num	Post_Cntl_O._frac	S10_S11_O._num	S10_S11_O._frac	S1_S2_O._num	S1_S2_O._frac	S2_S3_O._num	S2_S3_O._frac	S3_S4_O._num	S3_S4_O._frac	S4_S5_O._num	S4_S5_O._frac	S5_S6_O._num	S5_S6_O._frac	S6_S7_O._num	S6_S7_O._frac	S7_S8_O._num	S7_S8_O._frac	S8_S9_O._num	S8_S9_O._frac	S9_S10_O._num	S9_S10_O._frac
Moraxellales	2887326	O	2542718	0.14929	7588167	0.36554	170706	0.01469	599550	0.06671	1026505	0.09808	66550	0.00693	3395314	0.20035	1358797	0.09176	4283451	0.17217	16103661	0.31230	546553	0.02870	61532	0.00236	92361	0.00628	70175	0.00203	812177	0.07199	3494570	0.06246	136754	0.01841	63178	0.00459	56603	0.00460	50451	0.00448
Pseudomonadales	72274	O	1709625	0.10038	276967	0.01334	159408	0.01371	111272	0.01238	126106	0.01205	137977	0.01436	305517	0.01803	292714	0.01977	2422214	0.09736	3448405	0.06687	215558	0.01132	228173	0.00877	199490	0.01357	306534	0.00885	128819	0.01142	3668406	0.06556	78626	0.01058	190819	0.01385	125856	0.01024	122303	0.01086
Oceanospirillales	135619	O	393227	0.02309	64668	0.00312	53532	0.00461	36084	0.00401	42954	0.00410	43705	0.00455	55613	0.00328	56354	0.00381	497041	0.01998	874	0.00002	68972	0.00362	70308	0.00270	55910	0.00380	93556	0.00270	40653	0.00360	127189	0.00227	26628	0.00358	64837	0.00471	45729	0.00372	41315	0.00367
Alteromonadales	135622	O	360843	0.02119	78297	0.00377	58690	0.00505	37720	0.00420	46639	0.00446	45374	0.00472	76422	0.00451	67108	0.00453	495865	0.01993	1866	0.00004	84080	0.00441	63879	0.00245	58511	0.00398	83280	0.00240	41859	0.00371	246002	0.00440	32674	0.00440	60997	0.00443	44242	0.00360	44855	0.00398
Enterobacterales	91347	O	492202	0.02890	241999	0.01166	336979	0.02899	213593	0.02376	341653	0.03264	305590	0.03181	323590	0.01909	285531	0.01928	645001	0.02592	30177722	0.58523	466992	0.02452	600732	0.02309	420075	0.02857	789064	0.02278	223496	0.01981	759496	0.01357	185160	0.02493	778745	0.05654	573617	0.04667	309001	0.02745
Vibrionales	135623	O	210584	0.01236	64013	0.00308	57758	0.00497	36996	0.00412	42125	0.00402	48944	0.00509	67086	0.00396	58192	0.00393	271129	0.01090	2714	0.00005	76870	0.00404	56861	0.00219	58275	0.00396	73313	0.00212	39104	0.00347	77975	0.00139	32157	0.00433	56665	0.00411	45466	0.00370	45159	0.00401
Cellvibrionales	1706369	O	75598	0.00444	21121	0.00102	18751	0.00161	12726	0.00142	15369	0.00147	14987	0.00156	20122	0.00119	19609	0.00132	103637	0.00417	178	0.00000	25254	0.00133	25144	0.00097	20171	0.00137	34068	0.00098	14447	0.00128	52949	0.00095	9892	0.00133	23784	0.00173	17042	0.00139	14985	0.00133
Lysobacterales	135614	O	65628	0.00385	56326	0.00271	60205	0.00518	40517	0.00451	46863	0.00448	51336	0.00534	43861	0.00259	57992	0.00392	89942	0.00362	1768	0.00003	75344	0.00396	83340	0.00320	64430	0.00438	115505	0.00334	49586	0.00440	2062376	0.03686	29699	0.00400	77915	0.00566	48937	0.00398	46922	0.00417
Aeromonadales	135624	O	70179	0.00412	28383	0.00137	33017	0.00284	22019	0.00245	24156	0.00231	27945	0.00291	25633	0.00151	30546	0.00206	102549	0.00412	1788874	0.03469	44902	0.00236	40682	0.00156	36121	0.00246	55654	0.00161	23491	0.00208	72168	0.00129	17395	0.00234	43320	0.00315	27484	0.00224	26148	0.00232
Thiotrichales	72273	O	51195	0.00301	14888	0.00072	12855	0.00111	7929	0.00088	10337	0.00099	10494	0.00109	15805	0.00093	14476	0.00098	69318	0.00279	421	0.00001	18707	0.00098	19354	0.00074	13659	0.00093	24217	0.00070	8992	0.00080	19392	0.00035	7305	0.00098	14122	0.00103	10584	0.00086	10728	0.00095
Pasteurellales	135625	O	53052	0.00311	24852	0.00120	23428	0.00202	14218	0.00158	16621	0.00159	18523	0.00193	28727	0.00170	23886	0.00161	77229	0.00310	338	0.00001	33377	0.00175	29251	0.00112	23802	0.00162	37443	0.00108	15069	0.00134	27837	0.00050	13265	0.00179	23698	0.00172	18378	0.00150	18471	0.00164
Chromatiales	135613	O	41015	0.00241	22457	0.00108	21220	0.00183	14649	0.00163	17187	0.00164	17746	0.00185	18171	0.00107	21501	0.00145	57507	0.00231	407	0.00001	28020	0.00147	31118	0.00120	23404	0.00159	42486	0.00123	16716	0.00148	63582	0.00114	11069	0.00149	29097	0.00211	19750	0.00161	16891	0.00150
Legionellales	118969	O	20083	0.00118	14547	0.00070	14131	0.00122	8438	0.00094	10625	0.00102	10754	0.00112	16926	0.00100	15520	0.00105	27151	0.00109	92	0.00000	12149	0.00064	16727	0.00064	13705	0.00093	15148	0.00044	8948	0.00079	22638	0.00040	4711	0.00063	15064	0.00109	6988	0.00057	10931	0.00097
Methylococcales	135618	O	18743	0.00110	14408	0.00069	14093	0.00121	9312	0.00104	11334	0.00108	11340	0.00118	12650	0.00075	14452	0.00098	25020	0.00101	64	0.00000	17304	0.00091	18468	0.00071	14107	0.00096	25255	0.00073	10103	0.00090	35140	0.00063	6739	0.00091	16735	0.00122	11354	0.00092	10539	0.00094
Orbales	1240482	O	17656	0.00104	3917	0.00019	4071	0.00035	2307	0.00026	2838	0.00027	3028	0.00032	5022	0.00030	4289	0.00029	25199	0.00101	127	0.00000	14131	0.00074	5579	0.00021	4609	0.00031	6641	0.00019	2824	0.00025	4544	0.00008	5529	0.00074	3872	0.00028	8330	0.00068	3633	0.00032
Cardiobacteriales	135615	O	6665	0.00039	3287	0.00016	2333	0.00020	1391	0.00015	1724	0.00016	1866	0.00019	2337	0.00014	2467	0.00017	8710	0.00035	12	0.00000	3419	0.00018	3084	0.00012	2995	0.00020	4099	0.00012	1908	0.00017	3625	0.00006	1360	0.00018	2958	0.00021	2340	0.00019	2127	0.00019
Kangiellales	2887327	O	4217	0.00025	1227	0.00006	1118	0.00010	814	0.00009	1414	0.00014	911	0.00009	1273	0.00008	1307	0.00009	5836	0.00023	0	0.00000	1622	0.00009	953	0.00004	984	0.00007	1231	0.00004	695	0.00006	1355	0.00002	650	0.00009	1135	0.00008	879	0.00007	782	0.00007
Nevskiales	1775403	O	3672	0.00022	3186	0.00015	3357	0.00029	2277	0.00025	2628	0.00025	2815	0.00029	2465	0.00015	3258	0.00022	5056	0.00020	72	0.00000	4031	0.00021	4401	0.00017	3348	0.00023	11661	0.00034	2256	0.00020	19432	0.00035	1575	0.00021	4039	0.00029	2859	0.00023	2348	0.00021
Acidiferrobacterales	1692040	O	727	0.00004	1290	0.00006	1393	0.00012	928	0.00010	1101	0.00011	1139	0.00012	1135	0.00007	1430	0.00010	967	0.00004	0	0.00000	1547	0.00008	3013	0.00012	1479	0.00010	4098	0.00012	1013	0.00009	4691	0.00008	588	0.00008	1636	0.00012	1042	0.00008	1075	0.00010
Arenicellales	1617890	O	638	0.00004	389	0.00002	415	0.00004	253	0.00003	335	0.00003	299	0.00003	377	0.00002	376	0.00003	765	0.00003	0	0.00000	558	0.00003	488	0.00002	359	0.00002	662	0.00002	277	0.00002	825	0.00001	221	0.00003	604	0.00004	315	0.00003	269	0.00002
Thiohalobacterales	3085109	O	632	0.00004	1575	0.00008	1611	0.00014	697	0.00008	958	0.00009	1317	0.00014	1575	0.00009	1679	0.00011	928	0.00004	0	0.00000	1705	0.00009	3350	0.00013	1039	0.00007	4752	0.00014	775	0.00007	3543	0.00006	690	0.00009	1584	0.00012	1092	0.00009	1171	0.00010
Salinisphaerales	742030	O	607	0.00004	600	0.00003	546	0.00005	818	0.00009	472	0.00005	508	0.00005	480	0.00003	620	0.00004	783	0.00003	0	0.00000	1493	0.00008	1969	0.00008	523	0.00004	2574	0.00007	387	0.00003	2302	0.00004	593	0.00008	1597	0.00012	411	0.00003	364	0.00003
Steroidobacterales	3060226	O	664	0.00004	361	0.00002	393	0.00003	269	0.00003	279	0.00003	388	0.00004	264	0.00002	392	0.00003	837	0.00003	0	0.00000	498	0.00003	451	0.00002	447	0.00003	649	0.00002	346	0.00003	1931	0.00003	184	0.00002	430	0.00003	403	0.00003	382	0.00003
Candidatus Johnevansiales	3399795	O	379	0.00002	250	0.00001	292	0.00003	189	0.00002	269	0.00003	277	0.00003	309	0.00002	372	0.00003	626	0.00003	0	0.00000	245	0.00001	264	0.00001	310	0.00002	328	0.00001	233	0.00002	359	0.00001	91	0.00001	320	0.00002	159	0.00001	337	0.00003
Thiohalomonadales	3084968	O	395	0.00002	542	0.00003	998	0.00009	465	0.00005	655	0.00006	803	0.00008	459	0.00003	769	0.00005	1001	0.00004	0	0.00000	941	0.00005	1229	0.00005	778	0.00005	1762	0.00005	440	0.00004	1707	0.00003	377	0.00005	1083	0.00008	1170	0.00010	550	0.00005
Immundisolibacterales	1934945	O	336	0.00002	330	0.00002	414	0.00004	276	0.00003	394	0.00004	399	0.00004	326	0.00002	495	0.00003	437	0.00002	0	0.00000	566	0.00003	522	0.00002	493	0.00003	700	0.00002	297	0.00003	3374	0.00006	222	0.00003	622	0.00005	283	0.00002	335	0.00003
Woeseiales	3104269	O	227	0.00001	305	0.00001	327	0.00003	215	0.00002	262	0.00003	244	0.00003	247	0.00001	273	0.00002	298	0.00001	0	0.00000	324	0.00002	276	0.00001	1187	0.00008	375	0.00001	807	0.00007	742	0.00001	137	0.00002	366	0.00003	278	0.00002	379	0.00003
Candidatus Rariloculales	2978121	O	207	0.00001	291	0.00001	270	0.00002	176	0.00002	211	0.00002	268	0.00003	204	0.00001	281	0.00002	284	0.00001	0	0.00000	288	0.00002	263	0.00001	277	0.00002	335	0.00001	168	0.00001	1327	0.00002	109	0.00001	268	0.00002	311	0.00003	181	0.00002
Candidatus Comchoanobacterales	2975284	O	109	0.00001	84	0.00000	109	0.00001	66	0.00001	55	0.00001	81	0.00001	78	0.00000	102	0.00001	148	0.00001	0	0.00000	76	0.00000	76	0.00000	52	0.00000	123	0.00000	48	0.00000	80	0.00000	43	0.00001	103	0.00001	58	0.00000	53	0.00000
