name	taxonomy_id	taxonomy_lvl	C10_S21_P._num	C10_S21_P._frac	C1_S12_P._num	C1_S12_P._frac	C2_S13_P._num	C2_S13_P._frac	C3_S14_P._num	C3_S14_P._frac	C4_S15_P._num	C4_S15_P._frac	C5_S16_P._num	C5_S16_P._frac	C6_S17_P._num	C6_S17_P._frac	C7_S18_P._num	C7_S18_P._frac	C9_S20_P._num	C9_S20_P._frac	Post_Cntl_P._num	Post_Cntl_P._frac	S10_S11_P._num	S10_S11_P._frac	S1_S2_P._num	S1_S2_P._frac	S2_S3_P._num	S2_S3_P._frac	S3_S4_P._num	S3_S4_P._frac	S4_S5_P._num	S4_S5_P._frac	S5_S6_P._num	S5_S6_P._frac	S6_S7_P._num	S6_S7_P._frac	S7_S8_P._num	S7_S8_P._frac	S8_S9_P._num	S8_S9_P._frac	S9_S10_P._num	S9_S10_P._frac
Pseudomonadota	1224	P	6995981	0.41073	9379303	0.45179	1866654	0.16059	1743879	0.19401	2446607	0.23374	1530497	0.15930	5126187	0.30245	3224843	0.21774	10460615	0.42043	51542369	0.99955	2793718	0.14668	2518869	0.09679	1973267	0.13419	3365081	0.09716	2055630	0.18219	18725047	0.33465	1019617	0.13724	2505537	0.18191	1753750	0.14266	1419948	0.12613
Bacteroidota	976	P	1567038	0.09200	1810189	0.08719	1802670	0.15508	1231967	0.13706	1501386	0.14344	1405043	0.14624	2086630	0.12311	2023167	0.13660	2639769	0.10610	1631	0.00003	3147612	0.16526	6707424	0.25775	2437629	0.16576	9106057	0.26291	1514074	0.13419	6838656	0.12222	1275537	0.17169	2128823	0.15456	2526875	0.20556	1662402	0.14766
Chlorobiota	1090	P	3452	0.00020	6508	0.00031	6841	0.00059	4613	0.00051	5369	0.00051	5597	0.00058	6814	0.00040	7516	0.00051	4443	0.00018	0	0.00000	9611	0.00050	8613	0.00033	8073	0.00055	11526	0.00033	5486	0.00049	11864	0.00021	3786	0.00051	8545	0.00062	6798	0.00055	6067	0.00054
Rhodothermota	1853220	P	1671	0.00010	3713	0.00018	3555	0.00031	2430	0.00027	2775	0.00027	3077	0.00032	2777	0.00016	3761	0.00025	2020	0.00008	0	0.00000	4716	0.00025	7813	0.00030	4041	0.00027	10589	0.00031	2889	0.00026	19285	0.00034	1849	0.00025	4449	0.00032	3171	0.00026	2890	0.00026
Ignavibacteriota	1134404	P	1240	0.00007	1721	0.00008	1699	0.00015	1011	0.00011	1326	0.00013	1274	0.00013	2221	0.00013	1928	0.00013	1812	0.00007	14	0.00000	2339	0.00012	3372	0.00013	2131	0.00014	3673	0.00011	1212	0.00011	2185	0.00004	968	0.00013	2060	0.00015	1438	0.00012	1596	0.00014
Balneolota	1936987	P	1246	0.00007	1381	0.00007	1488	0.00013	1007	0.00011	1240	0.00012	1247	0.00013	1542	0.00009	1496	0.00010	1634	0.00007	0	0.00000	1730	0.00009	1422	0.00005	1786	0.00012	1911	0.00006	1120	0.00010	2320	0.00004	703	0.00009	2062	0.00015	1369	0.00011	1261	0.00011
Fibrobacterota	65842	P	3808	0.00022	8705	0.00042	6589	0.00057	1895	0.00021	2152	0.00021	2192	0.00023	17775	0.00105	6785	0.00046	2608	0.00010	0	0.00000	214317	0.01125	222773	0.00856	4960	0.00034	262263	0.00757	4096	0.00036	4420	0.00008	75139	0.01011	81931	0.00595	164192	0.01336	3771	0.00033
Gemmatimonadota	142182	P	2018	0.00012	4310	0.00021	4022	0.00035	3016	0.00034	3161	0.00030	3639	0.00038	3273	0.00019	4876	0.00033	2568	0.00010	0	0.00000	5493	0.00029	5632	0.00022	4485	0.00030	7725	0.00022	3106	0.00028	29875	0.00053	2251	0.00030	5053	0.00037	2830	0.00023	3242	0.00029
Candidatus Cloacimonadota	456828	P	303	0.00002	372	0.00002	351	0.00003	255	0.00003	269	0.00003	253	0.00003	357	0.00002	346	0.00002	502	0.00002	0	0.00000	463	0.00002	435	0.00002	284	0.00002	553	0.00002	204	0.00002	399	0.00001	159	0.00002	267	0.00002	226	0.00002	262	0.00002
Fidelibacterota	62680	P	284	0.00002	429	0.00002	505	0.00004	282	0.00003	351	0.00003	365	0.00004	391	0.00002	458	0.00003	331	0.00001	0	0.00000	717	0.00004	545	0.00002	435	0.00003	763	0.00002	310	0.00003	591	0.00001	311	0.00004	375	0.00003	398	0.00003	345	0.00003
Campylobacterota	29547	P	104165	0.00612	75997	0.00366	63939	0.00550	38679	0.00430	50042	0.00478	51991	0.00541	88159	0.00520	82659	0.00558	130966	0.00526	678	0.00001	287538	0.01510	93701	0.00360	122370	0.00832	123980	0.00358	70697	0.00627	115506	0.00206	139026	0.01871	88750	0.00644	80297	0.00653	92282	0.00820
Thermodesulfobacteriota	200940	P	51225	0.00301	126651	0.00610	146213	0.01258	89287	0.00993	108247	0.01034	121562	0.01265	119698	0.00706	144964	0.00979	64864	0.00261	83	0.00000	192765	0.01012	204411	0.00785	196242	0.01334	283305	0.00818	139456	0.01236	224514	0.00401	75933	0.01022	215102	0.01562	167174	0.01360	145685	0.01294
Spirochaetota	203691	P	45377	0.00266	58400	0.00281	60656	0.00522	39110	0.00435	49876	0.00476	50043	0.00521	131252	0.00774	79853	0.00539	49076	0.00197	43	0.00000	478875	0.02514	819409	0.03149	98111	0.00667	710467	0.02051	64336	0.00570	75831	0.00136	173850	0.02340	153147	0.01112	117890	0.00959	80815	0.00718
Planctomycetota	203682	P	20199	0.00119	40713	0.00196	41679	0.00359	26841	0.00299	33234	0.00318	35269	0.00367	34444	0.00203	54644	0.00369	25120	0.00101	84	0.00000	52134	0.00274	46747	0.00180	51160	0.00348	63278	0.00183	36048	0.00319	232376	0.00415	20667	0.00278	50788	0.00369	29510	0.00240	38657	0.00343
Verrucomicrobiota	74201	P	14155	0.00083	41966	0.00202	34912	0.00300	23351	0.00260	32140	0.00307	32151	0.00335	62182	0.00367	36682	0.00248	17169	0.00069	33	0.00000	149186	0.00783	44448	0.00171	88690	0.00603	60980	0.00176	65493	0.00580	107285	0.00192	61468	0.00827	87166	0.00633	25267	0.00206	67444	0.00599
Chlamydiota	204428	P	2930	0.00017	4256	0.00021	4524	0.00039	2672	0.00030	3386	0.00032	3524	0.00037	5049	0.00030	5487	0.00037	3806	0.00015	0	0.00000	5432	0.00029	4231	0.00016	4477	0.00030	4952	0.00014	2917	0.00026	6388	0.00011	2165	0.00029	4547	0.00033	2905	0.00024	4908	0.00044
Kiritimatiellota	134625	P	785	0.00005	3014	0.00015	3717	0.00032	2059	0.00023	3086	0.00029	3119	0.00032	2264	0.00013	4749	0.00032	1047	0.00004	0	0.00000	2937	0.00015	2455	0.00009	4653	0.00032	2970	0.00009	3108	0.00028	5999	0.00011	1120	0.00015	4713	0.00034	1824	0.00015	3400	0.00030
Lentisphaerota	256845	P	451	0.00003	761	0.00004	745	0.00006	533	0.00006	663	0.00006	729	0.00008	904	0.00005	1108	0.00007	507	0.00002	0	0.00000	698	0.00004	322	0.00001	793	0.00005	419	0.00001	564	0.00005	602	0.00001	280	0.00004	610	0.00004	529	0.00004	656	0.00006
Candidatus Omnitrophota	67812	P	140	0.00001	504	0.00002	455	0.00004	242	0.00003	322	0.00003	392	0.00004	357	0.00002	454	0.00003	170	0.00001	0	0.00000	359	0.00002	462	0.00002	409	0.00003	552	0.00002	296	0.00003	749	0.00001	143	0.00002	528	0.00004	275	0.00002	288	0.00003
Myxococcota	2818505	P	14465	0.00085	27635	0.00133	26092	0.00224	19358	0.00215	20479	0.00196	23260	0.00242	19302	0.00114	32581	0.00220	17814	0.00072	19	0.00000	32868	0.00173	42531	0.00163	29578	0.00201	58527	0.00169	21582	0.00191	259573	0.00464	13008	0.00175	35678	0.00259	22762	0.00185	21399	0.00190
Acidobacteriota	57723	P	8972	0.00053	21644	0.00104	21325	0.00183	14809	0.00165	17774	0.00170	17443	0.00182	18006	0.00106	21850	0.00148	11682	0.00047	0	0.00000	27460	0.00144	32741	0.00126	23346	0.00159	44837	0.00129	17016	0.00151	74267	0.00133	10789	0.00145	29813	0.00216	18768	0.00153	17097	0.00152
Bdellovibrionota	3018035	P	7542	0.00044	10339	0.00050	10897	0.00094	6835	0.00076	8474	0.00081	8349	0.00087	11620	0.00069	11507	0.00078	11947	0.00048	23	0.00000	13993	0.00073	11946	0.00046	12193	0.00083	15101	0.00044	7689	0.00068	18232	0.00033	5520	0.00074	11112	0.00081	7961	0.00065	9244	0.00082
Deferribacterota	200930	P	2308	0.00014	3316	0.00016	3512	0.00030	2225	0.00025	2549	0.00024	2771	0.00029	4177	0.00025	3668	0.00025	2847	0.00011	0	0.00000	4780	0.00025	4156	0.00016	3769	0.00026	5392	0.00016	2506	0.00022	4225	0.00008	1861	0.00025	3645	0.00026	3005	0.00024	2918	0.00026
Nitrospirota	40117	P	2217	0.00013	4005	0.00019	4237	0.00036	2765	0.00031	3261	0.00031	3374	0.00035	4129	0.00024	4379	0.00030	2881	0.00012	250	0.00000	5522	0.00029	5282	0.00020	4327	0.00029	6914	0.00020	2945	0.00026	8047	0.00014	2252	0.00030	4479	0.00033	3382	0.00028	3393	0.00030
Aquificota	200783	P	1827	0.00011	3713	0.00018	3454	0.00030	2274	0.00025	2824	0.00027	2771	0.00029	3881	0.00023	3786	0.00026	2467	0.00010	11	0.00000	4625	0.00024	4827	0.00019	3575	0.00024	6159	0.00018	2335	0.00021	4690	0.00008	1804	0.00024	3890	0.00028	2562	0.00021	2965	0.00026
Elusimicrobiota	74152	P	1061	0.00006	2700	0.00013	2996	0.00026	1661	0.00018	1928	0.00018	2190	0.00023	2950	0.00017	2657	0.00018	1372	0.00006	0	0.00000	3127	0.00016	2760	0.00011	2971	0.00020	3684	0.00011	2050	0.00018	4085	0.00007	1244	0.00017	6744	0.00049	2145	0.00017	2232	0.00020
Atribacterota	67818	P	553	0.00003	1016	0.00005	1092	0.00009	747	0.00008	878	0.00008	907	0.00009	987	0.00006	1094	0.00007	742	0.00003	0	0.00000	1197	0.00006	1042	0.00004	1016	0.00007	1426	0.00004	668	0.00006	1657	0.00003	422	0.00006	1139	0.00008	644	0.00005	750	0.00007
Chrysiogenota	200938	P	599	0.00004	621	0.00003	911	0.00008	546	0.00006	647	0.00006	846	0.00009	656	0.00004	731	0.00005	693	0.00003	0	0.00000	1468	0.00008	1077	0.00004	1278	0.00009	1273	0.00004	776	0.00007	1373	0.00002	607	0.00008	1229	0.00009	824	0.00007	868	0.00008
Dictyoglomota	68297	P	404	0.00002	633	0.00003	739	0.00006	436	0.00005	546	0.00005	555	0.00006	753	0.00004	785	0.00005	647	0.00003	0	0.00000	937	0.00005	781	0.00003	731	0.00005	1019	0.00003	462	0.00004	747	0.00001	387	0.00005	729	0.00005	435	0.00004	609	0.00005
Thermomicrobiota	3027942	P	398	0.00002	867	0.00004	785	0.00007	575	0.00006	581	0.00006	647	0.00007	497	0.00003	780	0.00005	519	0.00002	0	0.00000	964	0.00005	947	0.00004	984	0.00007	1386	0.00004	697	0.00006	4409	0.00008	398	0.00005	952	0.00007	570	0.00005	739	0.00007
Thermodesulfobiota	3002442	P	316	0.00002	424	0.00002	412	0.00004	271	0.00003	351	0.00003	417	0.00004	550	0.00003	450	0.00003	448	0.00002	0	0.00000	799	0.00004	700	0.00003	447	0.00003	780	0.00002	231	0.00002	468	0.00001	303	0.00004	405	0.00003	315	0.00003	332	0.00003
Calditrichota	1930617	P	247	0.00001	519	0.00002	477	0.00004	323	0.00004	365	0.00003	434	0.00005	601	0.00004	576	0.00004	302	0.00001	0	0.00000	641	0.00003	545	0.00002	694	0.00005	751	0.00002	534	0.00005	1081	0.00002	253	0.00003	732	0.00005	393	0.00003	483	0.00004
Caldisericota	67814	P	213	0.00001	263	0.00001	264	0.00002	156	0.00002	220	0.00002	222	0.00002	322	0.00002	329	0.00002	268	0.00001	0	0.00000	431	0.00002	488	0.00002	235	0.00002	615	0.00002	159	0.00001	262	0.00000	150	0.00002	241	0.00002	242	0.00002	198	0.00002
Nitrospinota	1293497	P	197	0.00001	579	0.00003	533	0.00005	314	0.00003	432	0.00004	457	0.00005	344	0.00002	497	0.00003	250	0.00001	0	0.00000	718	0.00004	809	0.00003	634	0.00004	1080	0.00003	510	0.00005	1306	0.00002	305	0.00004	997	0.00007	528	0.00004	486	0.00004
Thermosulfidibacterota	3123113	P	167	0.00001	268	0.00001	245	0.00002	176	0.00002	184	0.00002	210	0.00002	361	0.00002	329	0.00002	217	0.00001	0	0.00000	391	0.00002	309	0.00001	274	0.00002	383	0.00001	226	0.00002	324	0.00001	173	0.00002	463	0.00003	214	0.00002	237	0.00002
Coprothermobacterota	2138240	P	71	0.00000	140	0.00001	205	0.00002	140	0.00002	180	0.00002	172	0.00002	147	0.00001	203	0.00001	86	0.00000	0	0.00000	162	0.00001	563	0.00002	149	0.00001	598	0.00002	97	0.00001	230	0.00000	52	0.00001	171	0.00001	121	0.00001	117	0.00001
Actinomycetota	201174	P	3927106	0.23056	2680307	0.12911	1214980	0.10452	1335268	0.14855	1031092	0.09851	1194078	0.12428	1141185	0.06733	1403086	0.09474	5347324	0.21492	2201	0.00004	1393318	0.07315	2083024	0.08005	1300553	0.08844	2780692	0.08028	1366727	0.12114	18782679	0.33568	528502	0.07114	1235209	0.08968	1350566	0.10987	978679	0.08693
Bacillota	1239	P	3372307	0.19799	5568167	0.26821	5326293	0.45821	3834843	0.42663	4495571	0.42949	4213694	0.43857	6991908	0.41253	6310108	0.42606	4793958	0.19268	11948	0.00023	8078119	0.42413	11629558	0.44689	5521236	0.37545	15610920	0.45072	4160311	0.36874	7625505	0.13628	3151019	0.42412	5934917	0.43089	5240914	0.42634	4312719	0.38307
Mycoplasmatota	544448	P	397160	0.02332	76609	0.00369	73111	0.00629	45416	0.00505	56531	0.00540	57003	0.00593	77419	0.00457	71613	0.00484	625485	0.02514	289	0.00001	113296	0.00595	116029	0.00446	138478	0.00942	156670	0.00452	75296	0.00667	97513	0.00174	45740	0.00616	61964	0.00450	69936	0.00569	113969	0.01012
Cyanobacteriota	1117	P	44976	0.00264	67305	0.00324	66531	0.00572	44207	0.00492	54626	0.00522	54242	0.00565	76254	0.00450	70121	0.00473	60042	0.00241	266	0.00001	90566	0.00476	84011	0.00323	65185	0.00443	111082	0.00321	44485	0.00394	113892	0.00204	36125	0.00486	79392	0.00576	55909	0.00455	50425	0.00448
Chloroflexota	200795	P	7867	0.00046	13180	0.00063	12592	0.00108	8966	0.00100	11329	0.00108	10510	0.00109	11021	0.00065	12663	0.00086	8981	0.00036	34	0.00000	15639	0.00082	17996	0.00069	13179	0.00090	23511	0.00068	9601	0.00085	26763	0.00048	5985	0.00081	16404	0.00119	11266	0.00092	9785	0.00087
Armatimonadota	67819	P	658	0.00004	1675	0.00008	1844	0.00016	1174	0.00013	1401	0.00013	1457	0.00015	1438	0.00008	1913	0.00013	796	0.00003	0	0.00000	1959	0.00010	1541	0.00006	2084	0.00014	2215	0.00006	1532	0.00014	3790	0.00007	814	0.00011	1978	0.00014	1609	0.00013	1494	0.00013
Vulcanimicrobiota	1154676	P	194	0.00001	400	0.00002	385	0.00003	239	0.00003	263	0.00003	331	0.00003	284	0.00002	424	0.00003	187	0.00001	0	0.00000	393	0.00002	365	0.00001	359	0.00002	519	0.00001	270	0.00002	1534	0.00003	159	0.00002	450	0.00003	349	0.00003	292	0.00003
Fusobacteriota	32066	P	25466	0.00150	32975	0.00159	36274	0.00312	21981	0.00245	28178	0.00269	28926	0.00301	44143	0.00260	39010	0.00263	35294	0.00142	152	0.00000	57538	0.00302	55748	0.00214	52976	0.00360	71959	0.00208	29392	0.00261	40217	0.00072	23423	0.00315	41338	0.00300	31658	0.00258	39422	0.00350
Deinococcota	1297	P	7678	0.00045	17664	0.00085	17783	0.00153	12468	0.00139	14612	0.00140	14512	0.00151	14088	0.00083	17038	0.00115	9658	0.00039	0	0.00000	22759	0.00119	27273	0.00105	17360	0.00118	37575	0.00108	12863	0.00114	61186	0.00109	9130	0.00123	23788	0.00173	17129	0.00139	12928	0.00115
Thermotogota	200918	P	6423	0.00038	10026	0.00048	10746	0.00092	6668	0.00074	8056	0.00077	8629	0.00090	11588	0.00068	11097	0.00075	8592	0.00035	0	0.00000	15438	0.00081	13431	0.00052	10766	0.00073	16820	0.00049	6782	0.00060	12232	0.00022	6111	0.00082	11185	0.00081	7930	0.00065	8690	0.00077
Synergistota	508458	P	5002	0.00029	15245	0.00073	14480	0.00125	10185	0.00113	12742	0.00122	12899	0.00134	10596	0.00063	14419	0.00097	5874	0.00024	12	0.00000	18304	0.00096	22818	0.00088	14994	0.00102	31282	0.00090	10848	0.00096	34842	0.00062	7248	0.00098	18906	0.00137	13019	0.00106	11041	0.00098
Candidatus Saccharimonadota	95818	P	6119	0.00036	3140	0.00015	4278	0.00037	2075	0.00023	1963	0.00019	3629	0.00038	2490	0.00015	3046	0.00021	8236	0.00033	0	0.00000	3363	0.00018	12211	0.00047	1545	0.00011	15548	0.00045	1210	0.00011	12925	0.00023	1360	0.00018	1646	0.00012	1141	0.00009	1464	0.00013
Minisyncoccota	1752724	P	123	0.00001	1841	0.00009	156	0.00001	131	0.00001	134	0.00001	182	0.00002	172	0.00001	211	0.00001	125	0.00001	0	0.00000	268	0.00001	341	0.00001	772	0.00005	437	0.00001	210	0.00002	582	0.00001	118	0.00002	171	0.00001	119	0.00001	339	0.00003
Candidatus Absconditibacteriota	221235	P	112	0.00001	171	0.00001	153	0.00001	108	0.00001	147	0.00001	1609	0.00017	1624	0.00010	2028	0.00014	165	0.00001	0	0.00000	305	0.00002	2134	0.00008	255	0.00002	3065	0.00009	128	0.00001	5368	0.00010	114	0.00002	2483	0.00018	1393	0.00011	225	0.00002
Candidatus Fervidibacterota	1383058	P	102	0.00001	204	0.00001	221	0.00002	175	0.00002	175	0.00002	186	0.00002	194	0.00001	238	0.00002	153	0.00001	0	0.00000	226	0.00001	217	0.00001	197	0.00001	305	0.00001	120	0.00001	339	0.00001	96	0.00001	279	0.00002	137	0.00001	135	0.00001
Candidatus Bipolaricaulota	67810	P	3378	0.00020	163	0.00001	1884	0.00016	1358	0.00015	1289	0.00012	113	0.00001	148	0.00001	184	0.00001	3674	0.00015	0	0.00000	1988	0.00010	776	0.00003	2250	0.00015	1063	0.00003	1541	0.00014	425	0.00001	793	0.00011	257	0.00002	94	0.00001	1615	0.00014
Methanobacteriota	28890	P	178424	0.01048	319010	0.01537	379619	0.03266	199703	0.02222	192050	0.01835	413896	0.04308	474636	0.02800	691199	0.04667	258132	0.01037	156	0.00000	1275040	0.06694	717024	0.02755	2151764	0.14632	1002246	0.02894	1328808	0.11777	1765740	0.03156	514317	0.06923	630276	0.04576	280510	0.02282	1835590	0.16304
Thermoplasmatota	2283796	P	898	0.00005	2081	0.00010	1750	0.00015	1434	0.00016	1945	0.00019	1285	0.00013	3255	0.00019	2520	0.00017	1176	0.00005	0	0.00000	1918	0.00010	8499	0.00033	2497	0.00017	10902	0.00031	1846	0.00016	2369	0.00004	823	0.00011	2376	0.00017	1427	0.00012	1929	0.00017
Thermoproteota	28889	P	2796	0.00016	4228	0.00020	3915	0.00034	2626	0.00029	3116	0.00030	3296	0.00034	4759	0.00028	4538	0.00031	3663	0.00015	30	0.00000	5950	0.00031	5016	0.00019	4343	0.00030	6669	0.00019	2711	0.00024	6410	0.00011	2287	0.00031	4145	0.00030	3417	0.00028	3536	0.00031
Nitrososphaerota	651137	P	1596	0.00009	2239	0.00011	2332	0.00020	1365	0.00015	1658	0.00016	1812	0.00019	2740	0.00016	2579	0.00017	2299	0.00009	0	0.00000	3853	0.00020	3007	0.00012	2395	0.00016	4155	0.00012	1457	0.00013	6259	0.00011	1530	0.00021	2467	0.00018	2143	0.00017	1909	0.00017
Candidatus Micrarchaeota	1801631	P	112	0.00001	75	0.00000	69	0.00001	31	0.00000	54	0.00001	41	0.00000	45	0.00000	82	0.00001	105	0.00000	0	0.00000	60	0.00000	42	0.00000	40	0.00000	58	0.00000	26	0.00000	99	0.00000	23	0.00000	76	0.00001	34	0.00000	21	0.00000
Candidatus Nanohalarchaeota	1462430	P	51	0.00000	105	0.00001	96	0.00001	67	0.00001	98	0.00001	84	0.00001	79	0.00000	109	0.00001	71	0.00000	0	0.00000	104	0.00001	63	0.00000	76	0.00001	92	0.00000	43	0.00000	128	0.00000	42	0.00001	127	0.00001	231	0.00002	46	0.00000
Nanobdellota	192989	P	50	0.00000	77	0.00000	87	0.00001	48	0.00001	72	0.00001	66	0.00001	109	0.00001	120	0.00001	81	0.00000	0	0.00000	138	0.00001	78	0.00000	84	0.00001	105	0.00000	40	0.00000	162	0.00000	56	0.00001	55	0.00000	39	0.00000	53	0.00000
Promethearchaeota	3366641	P	198	0.00001	259	0.00001	304	0.00003	149	0.00002	202	0.00002	198	0.00002	316	0.00002	289	0.00002	241	0.00001	0	0.00000	428	0.00002	1025	0.00004	247	0.00002	994	0.00003	156	0.00001	427	0.00001	149	0.00002	304	0.00002	296	0.00002	213	0.00002
Chordata	7711	P	111981	0.00657	194147	0.00935	220659	0.01898	125908	0.01401	153875	0.01470	179978	0.01873	213530	0.01260	264503	0.01786	148126	0.00595	3335	0.00006	348192	0.01828	237632	0.00913	210398	0.01431	327798	0.00946	129798	0.01150	359756	0.00643	139723	0.01881	159168	0.01156	159572	0.01298	189720	0.01685
Ascomycota	4890	P	26751	0.00157	42049	0.00203	42285	0.00364	27731	0.00309	33253	0.00318	37721	0.00393	42293	0.00250	49035	0.00331	34928	0.00140	429	0.00001	60966	0.00320	46755	0.00180	40796	0.00277	63923	0.00185	27456	0.00243	102702	0.00184	24748	0.00333	42242	0.00307	39393	0.00320	32731	0.00291
Basidiomycota	5204	P	6627	0.00039	9999	0.00048	9768	0.00084	6276	0.00070	7566	0.00072	8423	0.00088	10220	0.00060	10995	0.00074	8512	0.00034	40	0.00000	13117	0.00069	13837	0.00053	9143	0.00062	18271	0.00053	5989	0.00053	22007	0.00039	5225	0.00070	9851	0.00072	7747	0.00063	7147	0.00063
Mucoromycota	1913637	P	4085	0.00024	5817	0.00028	6242	0.00054	3854	0.00043	4747	0.00045	4963	0.00052	7278	0.00043	7491	0.00051	5401	0.00022	44	0.00000	9923	0.00052	7750	0.00030	7172	0.00049	11139	0.00032	4193	0.00037	9147	0.00016	4030	0.00054	5989	0.00043	5610	0.00046	6068	0.00054
Microsporidia	6029	P	537	0.00003	640	0.00003	769	0.00007	440	0.00005	610	0.00006	561	0.00006	971	0.00006	1064	0.00007	726	0.00003	0	0.00000	1503	0.00008	963	0.00004	1022	0.00007	1265	0.00004	593	0.00005	1155	0.00002	582	0.00008	763	0.00006	729	0.00006	820	0.00007
Apicomplexa	5794	P	10100	0.00059	16304	0.00079	16390	0.00141	10602	0.00118	12914	0.00123	14142	0.00147	18384	0.00108	20291	0.00137	13070	0.00053	186	0.00000	30449	0.00160	23363	0.00090	18265	0.00124	32092	0.00093	11048	0.00098	25812	0.00046	12289	0.00165	15818	0.00115	14874	0.00121	15870	0.00141
Ciliophora	5878	P	25	0.00000	56	0.00000	57	0.00000	24	0.00000	38	0.00000	32	0.00000	67	0.00000	51	0.00000	24	0.00000	0	0.00000	57	0.00000	52	0.00000	52	0.00000	70	0.00000	39	0.00000	61	0.00000	19	0.00000	57	0.00000	38	0.00000	45	0.00000
Oomycota	4762	P	453	0.00003	663	0.00003	575	0.00005	439	0.00005	534	0.00005	512	0.00005	794	0.00005	730	0.00005	702	0.00003	0	0.00000	931	0.00005	1208	0.00005	724	0.00005	1545	0.00004	575	0.00005	1114	0.00002	376	0.00005	646	0.00005	566	0.00005	702	0.00006
Bacillariophyta	2836	P	423	0.00002	677	0.00003	597	0.00005	359	0.00004	478	0.00005	512	0.00005	568	0.00003	678	0.00005	544	0.00002	0	0.00000	948	0.00005	962	0.00004	508	0.00003	1293	0.00004	361	0.00003	1128	0.00002	399	0.00005	690	0.00005	485	0.00004	476	0.00004
Cercozoa	136419	P	24	0.00000	29	0.00000	29	0.00000	20	0.00000	26	0.00000	37	0.00000	55	0.00000	28	0.00000	29	0.00000	0	0.00000	81	0.00000	21	0.00000	49	0.00000	38	0.00000	17	0.00000	153	0.00000	33	0.00000	29	0.00000	76	0.00001	32	0.00000
Parabasalia	5719	P	2176	0.00013	3791	0.00018	9269	0.00080	2293	0.00026	11767	0.00112	3270	0.00034	4863	0.00029	4056	0.00027	2854	0.00011	46	0.00000	5589	0.00029	4074	0.00016	3432	0.00023	5167	0.00015	2155	0.00019	4054	0.00007	2321	0.00031	3330	0.00024	2657	0.00022	2973	0.00026
Fornicata	207245	P	1011	0.00006	766	0.00004	856	0.00007	482	0.00005	618	0.00006	636	0.00007	1137	0.00007	826	0.00006	1150	0.00005	13	0.00000	1660	0.00009	942	0.00004	854	0.00006	1462	0.00004	629	0.00006	1212	0.00002	726	0.00010	694	0.00005	731	0.00006	892	0.00008
Euglenozoa	33682	P	1844	0.00011	2849	0.00014	2800	0.00024	1850	0.00021	2303	0.00022	2432	0.00025	2385	0.00014	2930	0.00020	2630	0.00011	0	0.00000	3521	0.00018	4030	0.00015	2750	0.00019	5610	0.00016	1871	0.00017	8369	0.00015	1456	0.00020	3366	0.00024	2442	0.00020	2084	0.00019
Evosea	2605435	P	1320	0.00008	1820	0.00009	1958	0.00017	1077	0.00012	1443	0.00014	1568	0.00016	2193	0.00013	2337	0.00016	1715	0.00007	450	0.00001	3407	0.00018	1838	0.00007	1970	0.00013	2566	0.00007	1342	0.00012	2898	0.00005	1439	0.00019	1802	0.00013	1754	0.00014	1904	0.00017
Uroviricota	2731618	P	14090	0.00083	11693	0.00056	8721	0.00075	7169	0.00080	9260	0.00088	10162	0.00106	7256	0.00043	9486	0.00064	16992	0.00068	671	0.00001	8242	0.00043	66870	0.00257	10028	0.00068	95716	0.00276	5876	0.00052	17491	0.00031	3203	0.00043	7279	0.00053	10117	0.00082	6617	0.00059
