name	taxonomy_id	taxonomy_lvl	C10_S21_R2._num	C10_S21_R2._frac	C1_S12_R2._num	C1_S12_R2._frac	C2_S13_R2._num	C2_S13_R2._frac	C3_S14_R2._num	C3_S14_R2._frac	C4_S15_R2._num	C4_S15_R2._frac	C5_S16_R2._num	C5_S16_R2._frac	C6_S17_R2._num	C6_S17_R2._frac	C7_S18_R2._num	C7_S18_R2._frac	C9_S20_R2._num	C9_S20_R2._frac	Post_Cntl_R2._num	Post_Cntl_R2._frac	S10_S11_R2._num	S10_S11_R2._frac	S1_S2_R2._num	S1_S2_R2._frac	S2_S3_R2._num	S2_S3_R2._frac	S3_S4_R2._num	S3_S4_R2._frac	S4_S5_R2._num	S4_S5_R2._frac	S5_S6_R2._num	S5_S6_R2._frac	S6_S7_R2._num	S6_S7_R2._frac	S7_S8_R2._num	S7_S8_R2._frac	S8_S9_R2._num	S8_S9_R2._frac	S9_S10_R2._num	S9_S10_R2._frac
Bacteria	2	R2	16662718	0.97823	20136667	0.96996	10911123	0.93862	8592022	0.95586	10025435	0.95773	8919014	0.92825	16146131	0.95264	13729199	0.92699	24372582	0.97953	51560194	0.99989	17264218	0.90641	24872082	0.95577	12232408	0.83182	33034275	0.95375	9752857	0.86441	53608686	0.95807	6711170	0.90329	12877260	0.93491	11754779	0.95622	9143229	0.81213
Archaea	2157	R2	184129	0.01081	328077	0.01580	388180	0.03339	205426	0.02285	199199	0.01903	420685	0.04378	485943	0.02867	701442	0.04736	265771	0.01068	187	0.00000	1287665	0.06761	734757	0.02823	2161453	0.14698	1025227	0.02960	1335092	0.11833	1781608	0.03184	519302	0.06990	639961	0.04646	288103	0.02344	1843302	0.16373
Eukaryota	2759	R2	167367	0.00983	279625	0.01347	312283	0.02686	181377	0.02018	230192	0.02199	254802	0.02652	304765	0.01798	365033	0.02465	220425	0.00886	4550	0.00009	480524	0.02523	343474	0.01320	297152	0.02021	472332	0.01364	186084	0.01649	539661	0.00964	193431	0.02603	244459	0.01775	236749	0.01926	261494	0.02323
Duplodnaviria	2731341	R2	14267	0.00084	11904	0.00057	8935	0.00077	7326	0.00082	9426	0.00090	10325	0.00107	7493	0.00044	9725	0.00066	17199	0.00069	674	0.00001	8521	0.00045	67799	0.00261	10258	0.00070	96531	0.00279	6004	0.00053	18260	0.00033	3316	0.00045	7518	0.00055	10239	0.00083	6774	0.00060
Varidnaviria	2732004	R2	3610	0.00021	2512	0.00012	2704	0.00023	1662	0.00018	2530	0.00024	2301	0.00024	3023	0.00018	3215	0.00022	3837	0.00015	16	0.00000	3981	0.00021	3095	0.00012	2930	0.00020	4195	0.00012	1819	0.00016	4054	0.00007	1589	0.00021	3181	0.00023	1955	0.00016	2436	0.00022
Viruses incertae sedis	3403061	R2	492	0.00003	574	0.00003	547	0.00005	330	0.00004	417	0.00004	473	0.00005	447	0.00003	815	0.00006	613	0.00002	0	0.00000	600	0.00003	771	0.00003	476	0.00003	945	0.00003	284	0.00003	682	0.00001	216	0.00003	334	0.00002	369	0.00003	409	0.00004
Riboviria	2559587	R2	498	0.00003	624	0.00003	520	0.00004	346	0.00004	419	0.00004	451	0.00005	588	0.00003	582	0.00004	616	0.00002	54	0.00000	775	0.00004	745	0.00003	487	0.00003	1117	0.00003	293	0.00003	861	0.00002	359	0.00005	586	0.00004	513	0.00004	364	0.00003
unclassified viruses	12429	R2	216	0.00001	232	0.00001	213	0.00002	147	0.00002	216	0.00002	205	0.00002	243	0.00001	362	0.00002	251	0.00001	0	0.00000	263	0.00001	188	0.00001	222	0.00002	296	0.00001	137	0.00001	866	0.00002	102	0.00001	284	0.00002	165	0.00001	155	0.00001
Monodnaviria	2731342	R2	181	0.00001	92	0.00000	97	0.00001	80	0.00001	84	0.00001	96	0.00001	94	0.00001	121	0.00001	254	0.00001	0	0.00000	133	0.00001	156	0.00001	110	0.00001	220	0.00001	81	0.00001	203	0.00000	47	0.00001	84	0.00001	104	0.00001	82	0.00001
Adnaviria	2840022	R2	33	0.00000	20	0.00000	52	0.00000	28	0.00000	27	0.00000	38	0.00000	39	0.00000	54	0.00000	30	0.00000	0	0.00000	43	0.00000	99	0.00000	97	0.00001	142	0.00000	57	0.00001	44	0.00000	12	0.00000	74	0.00001	22	0.00000	61	0.00001
Singelaviria	3412574	R2	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	10	0.00000	0	0.00000	24	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
other sequences	28384	R2	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	282	0.00001	39	0.00000	0	0.00000	0	0.00000	0	0.00000	788	0.00002	0	0.00000	0	0.00000	130	0.00002	0	0.00000	0	0.00000	0	0.00000
