name	taxonomy_id	taxonomy_lvl	C10_S21_S._num	C10_S21_S._frac	C1_S12_S._num	C1_S12_S._frac	C2_S13_S._num	C2_S13_S._frac	C3_S14_S._num	C3_S14_S._frac	C4_S15_S._num	C4_S15_S._frac	C5_S16_S._num	C5_S16_S._frac	C6_S17_S._num	C6_S17_S._frac	C7_S18_S._num	C7_S18_S._frac	C9_S20_S._num	C9_S20_S._frac	Post_Cntl_S._num	Post_Cntl_S._frac	S10_S11_S._num	S10_S11_S._frac	S1_S2_S._num	S1_S2_S._frac	S2_S3_S._num	S2_S3_S._frac	S3_S4_S._num	S3_S4_S._frac	S4_S5_S._num	S4_S5_S._frac	S5_S6_S._num	S5_S6_S._frac	S6_S7_S._num	S6_S7_S._frac	S7_S8_S._num	S7_S8_S._frac	S8_S9_S._num	S8_S9_S._frac	S9_S10_S._num	S9_S10_S._frac
Psychrobacter sp. WB2	3043330	S	1215337	0.07143	989089	0.04770	7028	0.00061	97138	0.01083	240251	0.02300	2299	0.00024	802028	0.04738	646736	0.04374	2123542	0.08542	20	0.00000	90195	0.00474	1436	0.00006	7632	0.00052	720	0.00002	221412	0.01965	140172	0.00251	29872	0.00403	3445	0.00025	5808	0.00047	2976	0.00026
Psychrobacter sp. 219-2-C	3414707	S	174379	0.01025	244004	0.01177	2079	0.00018	13382	0.00149	16076	0.00154	452	0.00005	69893	0.00413	59867	0.00405	319112	0.01284	0	0.00000	62039	0.00326	603	0.00002	3454	0.00024	158	0.00000	129939	0.01153	17573	0.00031	19361	0.00261	1068	0.00008	3694	0.00030	1545	0.00014
Psychrobacter sp. CLB018	3240930	S	92940	0.00546	104192	0.00502	832	0.00007	5862	0.00065	8336	0.00080	294	0.00003	34398	0.00203	28499	0.00193	165881	0.00667	0	0.00000	27020	0.00142	372	0.00001	2008	0.00014	119	0.00000	49725	0.00441	23246	0.00042	6946	0.00094	452	0.00003	1413	0.00012	656	0.00006
Psychrobacter sp. van23A	3064892	S	129895	0.00763	141734	0.00683	2302	0.00020	11932	0.00133	16127	0.00154	681	0.00007	44599	0.00263	51135	0.00346	227261	0.00914	0	0.00000	65620	0.00345	888	0.00003	4075	0.00028	224	0.00001	108004	0.00959	22209	0.00040	18641	0.00252	1546	0.00011	3361	0.00027	1594	0.00014
Psychrobacter sp. DAB_AL43B	1028416	S	32595	0.00192	15805	0.00076	233	0.00002	1260	0.00014	2346	0.00022	162	0.00002	6643	0.00039	6031	0.00041	52680	0.00212	0	0.00000	7043	0.00037	247	0.00001	1188	0.00008	176	0.00001	8901	0.00079	30472	0.00054	799	0.00011	156	0.00001	270	0.00002	141	0.00001
Psychrobacter sp. LV10R520-6	1415574	S	29173	0.00171	12646	0.00061	212	0.00002	780	0.00009	945	0.00009	157	0.00002	3781	0.00022	4118	0.00028	48085	0.00193	0	0.00000	8178	0.00043	351	0.00001	735	0.00005	334	0.00001	9299	0.00083	10640	0.00019	721	0.00010	157	0.00001	267	0.00002	157	0.00001
Psychrobacter sp. P11G5	1699624	S	33066	0.00194	12816	0.00062	166	0.00001	1118	0.00012	1954	0.00019	111	0.00001	7264	0.00043	5810	0.00039	59459	0.00239	0	0.00000	10437	0.00055	277	0.00001	919	0.00006	97	0.00000	12172	0.00108	16323	0.00029	728	0.00010	98	0.00001	261	0.00002	101	0.00001
Psychrobacter sp. P2G3	1699622	S	29267	0.00172	10375	0.00050	102	0.00001	923	0.00010	1529	0.00015	66	0.00001	5887	0.00035	4879	0.00033	52712	0.00212	0	0.00000	9300	0.00049	260	0.00001	848	0.00006	184	0.00001	11034	0.00098	13036	0.00023	599	0.00008	91	0.00001	231	0.00002	83	0.00001
Psychrobacter sp. M13	3067275	S	22735	0.00134	9891	0.00048	269	0.00002	641	0.00007	817	0.00008	184	0.00002	3322	0.00020	3757	0.00025	35329	0.00142	0	0.00000	4902	0.00026	324	0.00001	574	0.00004	377	0.00001	5709	0.00051	8772	0.00016	514	0.00007	193	0.00001	248	0.00002	141	0.00001
Psychrobacter sp. WY6	2708350	S	23569	0.00139	20144	0.00097	206	0.00002	3615	0.00040	7519	0.00072	108	0.00001	6635	0.00039	5803	0.00039	39651	0.00159	0	0.00000	4868	0.00026	100	0.00000	5104	0.00035	56	0.00000	6418	0.00057	202476	0.00362	572	0.00008	132	0.00001	175	0.00001	133	0.00001
