SampleID,NumberUnclassified,Total,PercentUnclassified
C10_S21,45671272,62704800,72.84
C1_S12,69585467,90345801,77.02
C2_S13,66536942,78161607,85.13
C3_S14,45231221,54219977,83.42
C4_S15,52584123,63052077,83.4
C5_S16,55170647,64779045,85.17
C6_S17,68412299,85361075,80.14
C7_S18,67938800,82749355,82.1
C9_S20,61949877,86831746,71.34
Post_Cntl,436856,52002573,0.84
S10_S11,87861305,106908035,82.18
S1_S2,83144980,109168163,76.16
S2_S3,65307859,80013462,81.62
S3_S4,108691550,143327631,75.83
S4_S5,45217924,56500642,80.03
S5_S6,112751695,168706652,66.83
S6_S7,35175683,42605361,82.56
S7_S8,68305684,82079429,83.22
S8_S9,52999370,65292374,81.17
S9_S10,49895470,61153791,81.59
